OID_,GEOID,ALAND,AWATER,NAME,State,County,B01001_001E,B25002_001E,B25002_002E,B25002_003E,HOUSING_DENSITY,ADAPTIVE,DEVELOPMENT
18,36085005000,792524.000000000000000,42337.000000000000000,Census Tract 50,New York,Richmond County,4624,1428,1378,50,1.801838177771273,4.1486320,16.4559135
19,36085006400,709804.000000000000000,0.000000000000000,Census Tract 64,New York,Richmond County,3480,1326,1204,122,1.868121340539078,14.0264778,23.1253166
20,36085006700,950892.000000000000000,1786.000000000000000,Census Tract 67,New York,Richmond County,2737,1321,1158,163,1.389221909533364,3.7873223,9.3774834
21,36085007400,541258.000000000000000,442359.000000000000000,Census Tract 74,New York,Richmond County,4998,2008,1847,161,3.709875881742164,23.1276226,29.3779259
22,36085007500,480639.000000000000000,0.000000000000000,Census Tract 75,New York,Richmond County,4269,1259,1120,139,2.619429551076796,2.5122342,17.8547478
23,36085007700,248536.000000000000000,0.000000000000000,Census Tract 77,New York,Richmond County,1646,553,472,81,2.225029774358644,1.3041379,13.5000000
24,36085008100,806838.000000000000000,194554.000000000000000,Census Tract 81,New York,Richmond County,4622,2010,1764,246,2.491206413183316,4.5599370,14.0924168
25,36085009601,776279.000000000000000,0.000000000000000,Census Tract 96.01,New York,Richmond County,4673,1672,1634,38,2.153864783151418,11.0592527,16.0185184
26,36085009602,617605.000000000000000,0.000000000000000,Census Tract 96.02,New York,Richmond County,3353,1420,1372,48,2.299204183903952,11.7000694,16.1622810
27,36085010500,816706.000000000000000,0.000000000000000,Census Tract 105,New York,Richmond County,4545,1830,1601,229,2.240708406697147,9.8304262,8.6015453
28,36085011201,1607939.000000000000000,585976.000000000000000,Census Tract 112.01,New York,Richmond County,5846,1954,1883,71,1.215220229125607,4.3911767,3.4980392
29,36085011401,526892.000000000000000,0.000000000000000,Census Tract 114.01,New York,Richmond County,3273,1406,1322,84,2.668478549683806,4.9830451,7.6252131
30,36085011402,579280.000000000000000,0.000000000000000,Census Tract 114.02,New York,Richmond County,3532,1344,1255,89,2.320121530175390,9.8130369,8.5038757
31,36085012100,741984.000000000000000,0.000000000000000,Census Tract 121,New York,Richmond County,3076,1266,1204,62,1.706236253072843,7.7699423,9.9355230
32,36085012200,827812.000000000000000,0.000000000000000,Census Tract 122,New York,Richmond County,3976,1475,1343,132,1.781805530724367,12.4748964,7.8376908
33,36085012500,461075.000000000000000,0.000000000000000,Census Tract 125,New York,Richmond County,3020,1143,1065,78,2.478989318440601,8.5503254,8.9528484
34,36085012804,897166.000000000000000,342703.000000000000000,Census Tract 128.04,New York,Richmond County,4574,1631,1504,127,1.817946734495066,6.7388434,9.2955713
35,36085012805,1006608.000000000000000,344653.000000000000000,Census Tract 128.05,New York,Richmond County,2370,834,763,71,0.828525106098898,2.8492861,0.0000000
36,36085012806,1319470.000000000000000,580167.000000000000000,Census Tract 128.06,New York,Richmond County,5595,2352,2323,29,1.782533896185590,7.1823101,4.6226950
37,36085013201,469586.000000000000000,0.000000000000000,Census Tract 132.01,New York,Richmond County,1417,542,486,56,1.154208174860409,9.4162092,0.0000000
38,36085013203,1027708.000000000000000,5153.000000000000000,Census Tract 132.03,New York,Richmond County,6684,2492,2163,329,2.424813273809292,10.0977802,0.0000000
39,36085013204,1045193.000000000000000,0.000000000000000,Census Tract 132.04,New York,Richmond County,5246,1932,1871,61,1.848462437080999,7.4074440,0.0000000
40,36085013301,67337.000000000000000,0.000000000000000,Census Tract 133.01,New York,Richmond County,1091,549,504,45,8.153021370123410,10.0968151,11.5675678
41,36085013302,849327.000000000000000,0.000000000000000,Census Tract 133.02,New York,Richmond County,3846,1209,1002,207,1.423480002401902,9.3984632,8.7544975
42,36085013400,850704.000000000000000,0.000000000000000,Census Tract 134,New York,Richmond County,4225,1535,1476,59,1.804387895202092,12.4073811,2.9514256
43,36085013800,1407436.000000000000000,0.000000000000000,Census Tract 138,New York,Richmond County,6705,2584,2541,43,1.835962700968286,9.7596731,0.0000000
44,36085014100,311360.000000000000000,0.000000000000000,Census Tract 141,New York,Richmond County,2463,1118,1041,77,3.590698869475848,11.4108572,8.3429394
45,36085014604,1129001.000000000000000,0.000000000000000,Census Tract 146.04,New York,Richmond County,7392,2713,2465,248,2.403009386174149,11.9454460,0.0000000
46,36085014605,875799.000000000000000,6861.000000000000000,Census Tract 146.05,New York,Richmond County,4043,1422,1346,76,1.623660223407426,9.7710953,0.0000000
47,36085014606,1768732.000000000000000,192.000000000000000,Census Tract 146.06,New York,Richmond County,5732,2391,2162,229,1.351815877136842,7.2550259,0.0000000
48,36085014607,683480.000000000000000,0.000000000000000,Census Tract 146.07,New York,Richmond County,4841,1726,1694,32,2.525311640428396,10.7360153,0.0000000
49,36085014608,448628.000000000000000,0.000000000000000,Census Tract 146.08,New York,Richmond County,3304,1322,1168,154,2.946762128088305,11.1990051,0.0000000
50,36085014700,1667034.000000000000000,2000.000000000000000,Census Tract 147,New York,Richmond County,3288,1608,1515,93,0.964587404935952,6.6069922,1.4293391
51,36085015100,1004814.000000000000000,0.000000000000000,Census Tract 151,New York,Richmond County,6017,1975,1811,164,1.965537900546768,11.4743319,7.9317775
52,36085015400,2220712.000000000000000,2745202.000000000000000,Census Tract 154,New York,Richmond County,0,0,0,0,0.000000000000000,4.2367344,0.0000000
53,36085015601,1429954.000000000000000,0.000000000000000,Census Tract 156.01,New York,Richmond County,6262,2432,2287,145,1.700754010268862,10.5355444,0.0000000
54,36085015602,881072.000000000000000,0.000000000000000,Census Tract 156.02,New York,Richmond County,3533,1227,1157,70,1.392621715364919,9.4774809,0.0000000
55,36085015603,969267.000000000000000,2670770.000000000000000,Census Tract 156.03,New York,Richmond County,4903,1836,1731,105,1.894214906728487,7.9482665,0.0000000
56,36085016901,823441.000000000000000,0.000000000000000,Census Tract 169.01,New York,Richmond County,3870,1109,1057,52,1.346787444394923,7.0368519,14.1611843
57,36085017005,1389594.000000000000000,681.000000000000000,Census Tract 170.05,New York,Richmond County,4873,1842,1724,118,1.325567036127099,7.0795770,0.0000000
58,36085017007,1460411.000000000000000,1188.000000000000000,Census Tract 170.07,New York,Richmond County,6457,1928,1841,87,1.320176306532887,3.1557541,0.0000000
59,36085017009,1182339.000000000000000,0.000000000000000,Census Tract 170.09,New York,Richmond County,5186,1701,1662,39,1.438673679883688,4.7383409,0.0000000
60,36085017011,719396.000000000000000,0.000000000000000,Census Tract 170.11,New York,Richmond County,4920,1821,1750,71,2.531290137837853,11.5792427,0.0000000
61,36085017012,922584.000000000000000,0.000000000000000,Census Tract 170.12,New York,Richmond County,4364,1716,1639,77,1.859993236388231,8.7254467,0.0000000
62,36085017300,343224.000000000000000,0.000000000000000,Census Tract 173,New York,Richmond County,2372,1024,985,39,2.983474349113115,10.2074146,9.1105261
63,36085017600,3265505.000000000000000,2161742.000000000000000,Census Tract 176,New York,Richmond County,4963,1682,1564,118,0.515081128340027,6.7222714,0.0000000
64,36085018100,5198693.000000000000000,31114.000000000000000,Census Tract 181,New York,Richmond County,3268,1435,1331,104,0.276030917771063,4.8987131,0.7200895
65,36085018701,385154.000000000000000,0.000000000000000,Census Tract 187.01,New York,Richmond County,1931,671,657,14,1.742160278745644,10.9630127,9.0209789
66,36085018901,1136446.000000000000000,0.000000000000000,Census Tract 189.01,New York,Richmond County,5216,1857,1627,230,1.634041564667393,7.4597249,3.4880953
67,36085018902,755077.000000000000000,0.000000000000000,Census Tract 189.02,New York,Richmond County,6277,1872,1721,151,2.479217351342976,3.1460061,3.0522566
68,36085019700,300157.000000000000000,0.000000000000000,Census Tract 197,New York,Richmond County,1840,730,674,56,2.432060554976229,11.1351814,8.9104481
69,36085019800,5586388.000000000000000,4546063.000000000000000,Census Tract 198,New York,Richmond County,7733,2553,2483,70,0.457003702571322,5.6345339,0.0000000
70,36085020100,628188.000000000000000,0.000000000000000,Census Tract 201,New York,Richmond County,3777,1382,1304,78,2.199978350430126,10.4313622,6.9755745
71,36085020803,2098034.000000000000000,0.000000000000000,Census Tract 208.03,New York,Richmond County,8451,2610,2597,13,1.244021784203688,7.5368738,0.0000000
72,36085020804,1330758.000000000000000,0.000000000000000,Census Tract 208.04,New York,Richmond County,6055,2101,2084,17,1.578799451139877,9.8155537,0.0000000
73,36085021300,784577.000000000000000,0.000000000000000,Census Tract 213,New York,Richmond County,5027,1604,1434,170,2.044413741417349,6.3397508,1.1463133
74,36085022300,766316.000000000000000,606238.000000000000000,Census Tract 223,New York,Richmond County,2765,1143,982,161,1.491551788035223,3.3713598,0.0000000
75,36085023100,592842.000000000000000,0.000000000000000,Census Tract 231,New York,Richmond County,5259,1609,1422,187,2.714045226215417,9.4044275,0.0000000
76,36085023900,532083.000000000000000,0.000000000000000,Census Tract 239,New York,Richmond County,3729,1172,1019,153,2.202663870110490,6.1674194,0.0000000
77,36085024401,2102132.000000000000000,170084.000000000000000,Census Tract 244.01,New York,Richmond County,5704,2029,1964,65,0.965210557662411,8.0380249,0.0000000
78,36085024402,1823028.000000000000000,2065530.000000000000000,Census Tract 244.02,New York,Richmond County,5028,1819,1755,64,0.997790489230006,6.6632853,0.0000000
79,36085024700,479856.000000000000000,0.000000000000000,Census Tract 247,New York,Richmond County,2886,988,849,139,2.058951018638925,5.9245486,0.3564728
80,36085024800,1649555.000000000000000,703149.000000000000000,Census Tract 248,New York,Richmond County,4864,1771,1661,110,1.073622886172331,7.1004505,0.0000000
81,36085025100,1171699.000000000000000,0.000000000000000,Census Tract 251,New York,Richmond County,6002,2210,2069,141,1.886149941239175,3.0358765,0.3675345
82,36085027301,3029805.000000000000000,1271.000000000000000,Census Tract 273.01,New York,Richmond County,4034,1654,1508,146,0.545909720262525,5.2715583,0.0000000
83,36085027302,1021147.000000000000000,0.000000000000000,Census Tract 273.02,New York,Richmond County,4158,1379,1225,154,1.350442198821521,2.9511559,0.2824360
84,36085027702,1455129.000000000000000,0.000000000000000,Census Tract 277.02,New York,Richmond County,6540,2983,2821,162,2.049990069608949,3.4578192,0.0000000
85,36085027704,528028.000000000000000,0.000000000000000,Census Tract 277.04,New York,Richmond County,4832,1724,1590,134,3.264978372359042,10.2685108,0.0000000
86,36085027705,531529.000000000000000,0.000000000000000,Census Tract 277.05,New York,Richmond County,6401,2136,2004,132,4.018595410598481,11.8361874,0.0000000
87,36085027706,438638.000000000000000,0.000000000000000,Census Tract 277.06,New York,Richmond County,3625,1199,1175,24,2.733461305222074,11.0449047,0.0000000
88,36085027900,5243639.000000000000000,177359.000000000000000,Census Tract 279,New York,Richmond County,2288,677,636,41,0.129108811647789,7.0818467,0.0000000
89,36085029102,9241871.000000000000000,1890919.000000000000000,Census Tract 291.02,New York,Richmond County,3322,1106,1096,10,0.119672737262833,3.5856135,0.0000000
90,36085029104,1541565.000000000000000,0.000000000000000,Census Tract 291.04,New York,Richmond County,6819,2583,2401,182,1.675569956505240,4.6422529,0.0000000
91,36085030301,719319.000000000000000,0.000000000000000,Census Tract 303.01,New York,Richmond County,5628,2018,1943,75,2.805431248166669,5.7369614,0.0000000
92,36085030302,908763.000000000000000,0.000000000000000,Census Tract 303.02,New York,Richmond County,6663,2193,2061,132,2.413170430574308,10.3700762,0.0000000
93,36085031901,388050.000000000000000,0.000000000000000,Census Tract 319.01,New York,Richmond County,3422,1241,1148,93,3.198041489498776,10.9765539,0.0000000
94,36085031902,690539.000000000000000,294299.000000000000000,Census Tract 319.02,New York,Richmond County,5298,1807,1569,238,2.616796444516530,3.5334141,0.0000000
95,36085032300,3867919.000000000000000,498690.000000000000000,Census Tract 323,New York,Richmond County,1105,469,420,49,0.121253831840843,4.1284552,0.0000000
96,36085004001,300661.000000000000000,0.000000000000000,Census Tract 40.01,New York,Richmond County,3159,1195,1147,48,3.974576017508090,7.3184023,46.4818192
97,36085004002,337374.000000000000000,0.000000000000000,Census Tract 40.02,New York,Richmond County,2395,872,872,0,2.584668646665126,2.3961833,30.6577549
98,36085004003,195483.000000000000000,0.000000000000000,Census Tract 40.03,New York,Richmond County,2961,1616,1392,224,8.266703498513937,3.1905179,36.8461533
99,36085004004,359234.000000000000000,0.000000000000000,Census Tract 40.04,New York,Richmond County,4361,1244,1181,63,3.462923888050686,2.7984719,18.5806446
100,36085005901,936901.000000000000000,6193.000000000000000,Census Tract 59.01,New York,Richmond County,3316,1248,1213,35,1.332051091844282,6.8247929,17.5490952
101,36085005902,450104.000000000000000,0.000000000000000,Census Tract 59.02,New York,Richmond County,0,0,0,0,0.000000000000000,7.7375550,1.4520000
102,36085007001,473458.000000000000000,0.000000000000000,Census Tract 70.01,New York,Richmond County,3180,1143,1052,91,2.414152892125595,10.7249002,20.0153255
103,36085007002,2166807.000000000000000,866081.000000000000000,Census Tract 70.02,New York,Richmond County,6761,1836,1822,14,0.847329734489505,13.7372656,4.8542962
104,36085009701,795842.000000000000000,336112.000000000000000,Census Tract 97.01,New York,Richmond County,4288,1628,1561,67,2.045632173220313,6.2533946,7.1360102
105,36085009702,367493.000000000000000,99704.000000000000000,Census Tract 97.02,New York,Richmond County,0,0,0,0,0.000000000000000,5.8777208,1.3134716
106,36085011203,1001598.000000000000000,0.000000000000000,Census Tract 112.03,New York,Richmond County,6622,2342,2236,106,2.338263454998911,7.2949991,8.8633089
107,36085011204,975926.000000000000000,741225.000000000000000,Census Tract 112.04,New York,Richmond County,260,66,66,0,0.067628078358400,10.2694035,2.4584870
108,36085017013,556649.000000000000000,219.000000000000000,Census Tract 170.13,New York,Richmond County,4158,1468,1379,89,2.637209444371588,2.8289149,0.0000000
109,36085017014,553872.000000000000000,0.000000000000000,Census Tract 170.14,New York,Richmond County,4377,1685,1650,35,3.042219140884536,5.0986047,0.0000000
110,36085017015,457623.000000000000000,0.000000000000000,Census Tract 170.15,New York,Richmond County,2940,1152,1005,147,2.517355989537239,5.5039487,0.0000000
111,36085017016,661425.000000000000000,0.000000000000000,Census Tract 170.16,New York,Richmond County,4758,1610,1604,6,2.434138413274370,9.1245785,0.0000000
112,36085017701,2935055.000000000000000,2825.000000000000000,Census Tract 177.01,New York,Richmond County,3556,1570,1314,256,0.534913315082682,4.7023644,1.7911954
113,36085017702,586941.000000000000000,0.000000000000000,Census Tract 177.02,New York,Richmond County,2331,981,860,121,1.671377531983623,8.0693798,15.9476919
114,36085018703,474507.000000000000000,0.000000000000000,Census Tract 187.03,New York,Richmond County,4794,1329,1329,0,2.800801674158653,3.2595406,9.6958179
115,36085018704,538794.000000000000000,0.000000000000000,Census Tract 187.04,New York,Richmond County,3770,1285,1229,56,2.384956031433163,5.5367718,9.4632111
116,36085020701,417768.000000000000000,106511.000000000000000,Census Tract 207.01,New York,Richmond County,3168,1079,842,237,2.582773213841175,3.5239279,0.0000000
117,36085020702,542033.000000000000000,289198.000000000000000,Census Tract 207.02,New York,Richmond County,2311,1132,845,287,2.088433730049646,5.8789821,3.8628159
118,36085020805,1127289.000000000000000,7616.000000000000000,Census Tract 208.05,New York,Richmond County,6446,2470,2398,72,2.191097402706848,10.3808012,0.0000000
119,36085020806,1469772.000000000000000,0.000000000000000,Census Tract 208.06,New York,Richmond County,2514,885,885,0,0.602134208571125,6.2384987,0.0000000
120,36085022601,1747826.000000000000000,522.000000000000000,Census Tract 226.01,New York,Richmond County,6946,2524,2402,122,1.444079673834810,4.7400727,0.0000000
121,36085022602,6278738.000000000000000,2111712.000000000000000,Census Tract 226.02,New York,Richmond County,1323,757,663,94,0.120565629589895,4.4287868,0.0000000
122,36085022801,4065100.000000000000000,926280.000000000000000,Census Tract 228.01,New York,Richmond County,23,9,9,0,0.002213967676072,3.8119187,0.0000000
123,36085022802,5507700.000000000000000,860084.000000000000000,Census Tract 228.02,New York,Richmond County,0,0,0,0,0.000000000000000,4.8981338,0.0000000
124,36085029105,1607963.000000000000000,533.000000000000000,Census Tract 291.05,New York,Richmond County,4593,1635,1621,14,1.016814441625833,3.3564188,0.0000000
125,36085029106,430836.000000000000000,0.000000000000000,Census Tract 291.06,New York,Richmond County,3529,1021,1021,0,2.369811250684716,6.3846154,0.0000000
126,36047000200,276929.000000000000000,0.000000000000000,Census Tract 2,New York,Kings County,1160,357,323,34,1.289139093413835,2.8076208,23.2941170
127,36047000301,200995.000000000000000,0.000000000000000,Census Tract 3.01,New York,Kings County,3892,2019,1830,189,10.045025995671534,13.5215168,111.8108139
128,36047000501,83724.000000000000000,0.000000000000000,Census Tract 5.01,New York,Kings County,4604,2043,1934,109,24.401605274473269,15.0727463,80.3152161
129,36047000502,96799.000000000000000,0.000000000000000,Census Tract 5.02,New York,Kings County,2826,1534,1472,62,15.847271149495347,15.6616478,92.5000000
130,36047000700,176774.000000000000000,0.000000000000000,Census Tract 7,New York,Kings County,4044,2100,1799,301,11.879575050629617,14.9559107,103.5634537
131,36047000900,163469.000000000000000,0.000000000000000,Census Tract 9,New York,Kings County,4687,2480,2311,169,15.171072191057632,17.3951778,97.4347839
132,36047001100,168507.000000000000000,0.000000000000000,Census Tract 11,New York,Kings County,1508,940,820,120,5.578403271080727,16.6522408,198.7700500
133,36047001300,293167.000000000000000,0.000000000000000,Census Tract 13,New York,Kings County,2028,1303,1121,182,4.444565725337435,14.6314249,142.2276917
134,36047002000,154138.000000000000000,0.000000000000000,Census Tract 20,New York,Kings County,1845,449,439,10,2.912974088154770,6.0480180,127.0465088
135,36047002200,340046.000000000000000,0.000000000000000,Census Tract 22,New York,Kings County,4083,1608,1511,97,4.728771989671985,7.0030241,194.3192596
136,36047002901,109261.000000000000000,0.000000000000000,Census Tract 29.01,New York,Kings County,4370,1456,1434,22,13.325889384135236,15.9779873,64.0250015
137,36047003000,110188.000000000000000,0.000000000000000,Census Tract 30,New York,Kings County,1736,792,747,45,7.187715540712237,7.1433020,142.4836121
138,36047003300,164585.000000000000000,0.000000000000000,Census Tract 33,New York,Kings County,4630,2591,2371,220,15.742625391135281,15.7385178,82.2717361
139,36047003400,477399.000000000000000,2570730.000000000000000,Census Tract 34,New York,Kings County,3582,1469,1367,102,3.077090651635215,6.9041095,59.2603760
140,36047003500,133028.000000000000000,0.000000000000000,Census Tract 35,New York,Kings County,2297,1212,1147,65,9.110863878281265,14.9090319,168.4109650
141,36047003600,125291.000000000000000,0.000000000000000,Census Tract 36,New York,Kings County,3699,2051,1920,131,16.369890893998772,9.2952051,83.7985611
142,36047003700,166448.000000000000000,0.000000000000000,Census Tract 37,New York,Kings County,3220,2077,1785,292,12.478371623570125,18.4228401,140.5307312
143,36047003800,127478.000000000000000,320787.000000000000000,Census Tract 38,New York,Kings County,1512,666,563,103,5.224430882191436,6.4278002,127.9136658
144,36047003900,156923.000000000000000,0.000000000000000,Census Tract 39,New York,Kings County,2349,1199,1010,189,7.640690019946089,17.8122272,139.1731873
145,36047004100,162009.000000000000000,0.000000000000000,Census Tract 41,New York,Kings County,3535,1546,1312,234,9.542679727669451,17.6779652,123.5500031
146,36047004300,165383.000000000000000,0.000000000000000,Census Tract 43,New York,Kings County,3919,1874,1805,69,11.331273468252482,17.0445595,95.7891922
147,36047004400,419483.000000000000000,817305.000000000000000,Census Tract 44,New York,Kings County,2335,1037,929,108,2.472090644912905,7.1796188,63.0021515
148,36047004500,170539.000000000000000,0.000000000000000,Census Tract 45,New York,Kings County,3614,1745,1583,162,10.232263587801031,15.8393755,141.4840393
149,36047004600,289094.000000000000000,528144.000000000000000,Census Tract 46,New York,Kings County,1386,648,562,86,2.241485468394363,6.4753804,62.5312500
150,36047004700,283961.000000000000000,0.000000000000000,Census Tract 47,New York,Kings County,1912,845,780,65,2.975760755878448,14.9707127,34.0961533
151,36047004900,97531.000000000000000,0.000000000000000,Census Tract 49,New York,Kings County,2833,1083,1039,44,11.104161753698824,14.9517965,98.0642166
152,36047005000,223992.000000000000000,535603.000000000000000,Census Tract 50,New York,Kings County,2405,1156,995,161,5.160898603521554,6.6747403,137.2874451
153,36047005100,179702.000000000000000,0.000000000000000,Census Tract 51,New York,Kings County,2967,1187,1085,102,6.605380018029850,14.1326332,131.2388000
154,36047005201,133678.000000000000000,192294.000000000000000,Census Tract 52.01,New York,Kings County,1659,1103,956,147,8.251170723679289,6.6161289,90.4864883
155,36047005202,133272.000000000000000,440002.000000000000000,Census Tract 52.02,New York,Kings County,2734,1640,1454,186,12.305660603877785,5.7629337,73.0743256
156,36047005400,161905.000000000000000,125113.000000000000000,Census Tract 54,New York,Kings County,3388,1795,1662,133,11.086748401840586,7.7865529,93.8426971
157,36047005601,173443.000000000000000,207530.000000000000000,Census Tract 56.01,New York,Kings County,2585,1594,1355,239,9.190339189243728,7.2434177,144.8631592
158,36047005602,135056.000000000000000,356364.000000000000000,Census Tract 56.02,New York,Kings County,1867,1063,923,140,7.870809145835802,6.8587098,102.9533310
159,36047005800,193316.000000000000000,0.000000000000000,Census Tract 58,New York,Kings County,3066,1540,1326,214,7.966231455233917,10.4342051,139.1889343
160,36047005900,355163.000000000000000,0.000000000000000,Census Tract 59,New York,Kings County,1234,650,566,84,1.830145595121113,11.9958954,85.5343475
161,36047006000,152260.000000000000000,0.000000000000000,Census Tract 60,New York,Kings County,3516,1255,1193,62,8.242479968474978,10.7092962,129.0000000
162,36047006200,162273.000000000000000,0.000000000000000,Census Tract 62,New York,Kings County,2536,1165,1022,143,7.179259642700881,10.3576336,131.2500000
163,36047006300,103152.000000000000000,0.000000000000000,Census Tract 63,New York,Kings County,2284,1050,1011,39,10.179153094462540,14.2666111,129.4741364
164,36047006400,203176.000000000000000,0.000000000000000,Census Tract 64,New York,Kings County,3264,1478,1325,153,7.274481237941488,10.6104774,118.7920380
165,36047006500,249988.000000000000000,0.000000000000000,Census Tract 65,New York,Kings County,6308,2757,2559,198,11.028529369409732,14.9640284,91.3043442
166,36047006600,153740.000000000000000,0.000000000000000,Census Tract 66,New York,Kings County,3898,1826,1731,95,11.877195264732665,10.6104908,101.7529449
167,36047006700,156139.000000000000000,0.000000000000000,Census Tract 67,New York,Kings County,4102,1679,1578,101,10.753239101057391,16.2611332,95.4712677
168,36047006800,185509.000000000000000,0.000000000000000,Census Tract 68,New York,Kings County,4684,1810,1684,126,9.756939016435860,9.5444031,146.5961609
169,36047007000,149197.000000000000000,0.000000000000000,Census Tract 70,New York,Kings County,2632,1235,1155,80,8.277646333371315,7.5947189,130.6646271
170,36047007100,167530.000000000000000,3828.000000000000000,Census Tract 71,New York,Kings County,4669,1910,1669,241,11.400943114666031,16.7296467,84.8287277
171,36047007200,62490.000000000000000,0.000000000000000,Census Tract 72,New York,Kings County,1844,626,586,40,10.017602816450632,7.3049450,123.2608719
172,36047007400,141287.000000000000000,0.000000000000000,Census Tract 74,New York,Kings County,5508,1623,1504,119,11.487256435482388,8.8380022,100.4331207
173,36047007500,282782.000000000000000,0.000000000000000,Census Tract 75,New York,Kings County,4811,2364,2156,208,8.359796592428090,17.4235439,138.6170959
174,36047007600,138336.000000000000000,0.000000000000000,Census Tract 76,New York,Kings County,5327,1456,1292,164,10.525098311357853,8.4372673,132.0779266
175,36047007700,389422.000000000000000,0.000000000000000,Census Tract 77,New York,Kings County,6211,2986,2694,292,7.667774291128904,15.9117126,122.3833694
176,36047007800,138114.000000000000000,0.000000000000000,Census Tract 78,New York,Kings County,5053,1477,1401,76,10.694064323674645,7.2043343,105.6907883
177,36047008000,139115.000000000000000,0.000000000000000,Census Tract 80,New York,Kings County,3571,1376,1245,131,9.891097293606009,4.7324724,135.8598785
178,36047008200,139691.000000000000000,0.000000000000000,Census Tract 82,New York,Kings County,3780,1479,1354,125,10.587654179582076,2.2539878,100.5882339
179,36047008400,243910.000000000000000,0.000000000000000,Census Tract 84,New York,Kings County,3742,1221,1195,26,5.005944815710713,3.2631209,173.6373596
180,36047008500,243576.000000000000000,0.000000000000000,Census Tract 85,New York,Kings County,7412,3211,3076,135,13.182743784280882,9.6766357,51.7069588
181,36047008600,113543.000000000000000,0.000000000000000,Census Tract 86,New York,Kings County,0,0,0,0,0.000000000000000,1.9025680,10.8425198
182,36047008800,189369.000000000000000,0.000000000000000,Census Tract 88,New York,Kings County,2531,1232,1113,119,6.505816685941205,1.8863739,167.4597168
183,36047009600,150752.000000000000000,0.000000000000000,Census Tract 96,New York,Kings County,5822,1948,1866,82,12.921884950116747,5.6875358,106.0903625
184,36047009800,151006.000000000000000,0.000000000000000,Census Tract 98,New York,Kings County,6364,1827,1753,74,12.098856999059640,7.7353778,118.1183395
185,36047010000,150970.000000000000000,0.000000000000000,Census Tract 100,New York,Kings County,5434,1929,1684,245,12.777372988010862,7.1595683,98.8383255
186,36047010100,314730.000000000000000,0.000000000000000,Census Tract 101,New York,Kings County,4393,1681,1508,173,5.341086010230992,7.8481460,203.1575928
187,36047010200,152450.000000000000000,0.000000000000000,Census Tract 102,New York,Kings County,5025,1309,1171,138,8.586421777632012,9.0382881,155.3964539
188,36047011000,158059.000000000000000,0.000000000000000,Census Tract 110,New York,Kings County,2490,587,547,40,3.713803073535832,2.0347638,90.9715881
189,36047011200,171313.000000000000000,0.000000000000000,Census Tract 112,New York,Kings County,6274,2212,2026,186,12.912038199085885,2.4539077,112.2157898
190,36047011400,167792.000000000000000,0.000000000000000,Census Tract 114,New York,Kings County,3709,1138,844,294,6.782206541432250,6.2364383,187.2673798
